"cardnum_amount_month_diff_avg_1","cardnum_amount_month_diff_sum_1","cardnum_amount_avg_1","cardnum_amount_avg_3","cardnum_amount_month_diff_sum_3","merchantnum_amount_month_diff_max_1","cardnum_amount_week_diff_sum_3","cardnum_amount_week_diff_sum_1","merchantnum_amount_sum_1","cardnum_amount_sum_1","cardnum_amount_max_1","merchantnum_amount_avg_1","merchantnum_amount_week_diff_avg_1","cardnum_amount_week_diff_sum_7","cardnum_amount_avg_7","cardnum_amount_sum_3","merchantnum_amount_max_3","cardnum_amount_month_diff_avg_7","merchantnum_amount_month_diff_sum_1","cardnum_amount_month_diff_sum_15","cardnum_amount_week_diff_sum_15","merchantnum_amount_month_diff_avg_3","cardnum_amount_week_diff_max_3","cardnum_amount_max_3","cardnum_amount_month_diff_avg_15","Fraud"
-79.6674179199321,-159.334835839864,358.83,358.83,-159.334835839864,252.082582080068,-69.1369066227889,-69.1369066227889,864.49,717.66,543.75,432.245,38.8465466886056,-268.443162472019,347.016,717.66,690.58,-91.4814179199322,-12.5048358398643,-1966.24568679107,-1385.09379732922,-6.25241791993213,150.351546688606,543.75,-103.486615094267,0
-85.869782672112,-85.869782672112,280.5,280.5,-85.869782672112,-85.869782672112,-139.466391656703,-139.466391656703,280.5,280.5,280.5,280.5,-139.466391656703,-139.466391656703,280.5,280.5,280.5,-85.869782672112,-85.869782672112,-801.33775393738,-857.972300594944,-85.869782672112,-139.466391656703,280.5,-267.112584645793,0
-13.0781105418413,-13.0781105418413,443.94,681.82,468.124471538227,-13.0781105418413,566.880135807473,33.5792396481556,443.94,443.94,443.94,443.94,33.5792396481556,2277.79168249608,1155.98333333333,1363.64,443.94,729.406945058197,-13.0781105418413,1771.72295488186,1852.93343090379,-13.0781105418413,533.300896159317,919.7,354.344590976371,0
15.1518114068441,15.1518114068441,437.5,171.033333333333,-753.944565779468,15.1518114068441,-727.587912360391,17.5336083432974,437.5,437.5,437.5,437.5,17.5336083432974,-1793.87535561521,95.5166666666667,513.1,437.5,-326.831521926489,15.1518114068441,-2211.45265235235,-2031.27445945589,15.1518114068441,17.5336083432974,437.5,-315.921807478908,0
-31.7491664187804,-31.7491664187804,391.9,300.49,-279.687276960622,-31.7491664187804,-202.779213663239,-18.4607603518444,391.9,391.9,391.9,391.9,-18.4607603518444,-1216.44838863335,169.442,600.98,391.9,-260.880955243393,-31.7491664187804,-629.320159033035,-660.938590061254,-31.7491664187804,-18.4607603518444,391.9,-44.9514399309311,0
-418.728188593156,-418.728188593156,3.62,3.62,-418.728188593156,-415.548188593156,-371.809147751606,-371.809147751606,28.4,3.62,3.62,4.05714285714286,-371.372004894463,-135.3938587168,370.018888888889,3.62,15.4,-24.2598521788816,-2928.03732015209,-218.338669609935,-135.3938587168,-386.900192287216,-371.809147751606,3.62,-24.2598521788816,0
-80.1043892025892,-80.1043892025892,322.71,322.71,-80.1043892025892,-80.1043892025892,-52.719147751606,-52.719147751606,732.31,322.71,322.71,183.0775,-192.351647751606,-52.719147751606,322.71,322.71,322.71,-80.1043892025892,-878.947556810357,-413.675411388791,-393.607601063,-219.736889202589,-52.719147751606,322.71,-206.837705694396,0
-392.598188593156,-392.598188593156,29.75,29.75,-392.598188593156,-392.598188593156,-345.679147751606,-345.679147751606,29.75,29.75,29.75,29.75,-345.679147751606,-345.679147751606,29.75,29.75,29.75,-392.598188593156,-392.598188593156,-392.598188593156,-345.679147751606,-392.598188593156,-345.679147751606,29.75,-392.598188593156,0
296.502582080068,296.502582080068,735,354.3,-107.14470284265,296.502582080068,-184.457175714575,324.639239648156,735,735,735,735,324.639239648156,-952.739659540355,303.354,1771.5,1269,-91.7383990484938,296.502582080068,-1802.59383037484,-1841.91015944308,283.322780976485,473.760896159317,860.16,-48.7187521722929,0
557.770610797411,1115.54122159482,960.585,559.49875,1480.51424756885,468.155610797411,1417.01447140897,1114.76935791861,1568.14,1921.17,1224,784.07,380.869678959303,1417.01447140897,559.49875,4475.99,1227.52,185.064280946106,762.511221594822,1576.6723015559,1472.99547765604,247.896881319659,852.090852248394,1227.52,121.282484735069,0
771.494010651497,5400.45807456048,1209.99142857143,1061.95545454545,6858.03840288075,1756.50258208007,7128.94397424029,5530.17525840308,5172,8469.94,2268,1724,1304.0336083433,8139.5455209289,1090.45916666667,11681.51,2358,651.961748746734,3856.5077462402,11366.2968057615,12053.0785630285,1037.58258208007,1876.7996789593,2280,516.64985480734,0
-168.314389202589,-168.314389202589,234.5,1305.414,4490.14574725237,-168.314389202589,4581.120734794,-175.860760351844,234.5,234.5,234.5,234.5,-175.860760351844,4044.97163940121,898.84,6527.07,2238.9,485.68127545591,-168.314389202589,11137.7988417474,11003.2004353592,488.271407312706,1887.47089615932,2273.87,484.252123554235,0
949.486811406844,1898.97362281369,1371.835,1371.835,1898.97362281369,1822.32181140684,1937.26935791861,1937.26935791861,2244.67,2743.67,2244.67,2244.67,1841.4696789593,4759.20386242122,1592.9925,2743.67,2244.67,1170.64431140684,1822.32181140684,4682.57724562738,4759.20386242122,1822.32181140684,1841.4696789593,2244.67,1170.64431140684,0
-319.380187460085,-958.140562380255,80.0833333333333,147.925,-1006.15408317367,-339.513520793418,-1042.58260209623,-990.832281055533,59.95,240.25,125,59.95,-350.410760351844,-1042.58260209623,147.925,591.7,1176.56,-251.538520793418,-339.513520793418,-2650.32762361476,-2779.21678784287,218.791479206582,-51.750321040697,351.45,-294.480847068307,0
-395.843520793418,-791.687041586836,3.62,55.592,-1719.35760396709,-395.843520793418,-1672.62608784058,-799.160642081394,14.48,7.24,3.62,3.62,-399.580321040697,-2157.30310404166,157.818888888889,277.96,114.4,-241.644631904529,-1583.37408317367,-7156.63266538938,-6982.26134160389,-390.661545484776,-123.915148586397,257.48,-223.644770793418,0
-331.733940146367,-663.467880292734,45,41.3333333333333,-1015.54890247894,-336.733940146367,-1041.99061821349,-672.790297172794,40,90,50,40,-341.395148586397,-1041.99061821349,41.3333333333333,124,40,-338.516300826312,-336.733940146367,-955.441969037542,-1050.00765195159,-336.733940146367,-331.395148586397,50,-159.240328172924,0
-288.70916641878,-288.70916641878,134.94,134.94,-288.70916641878,-288.70916641878,-246.455148586397,-246.455148586397,134.94,134.94,134.94,134.94,-246.455148586397,-246.455148586397,134.94,134.94,134.94,-288.70916641878,-288.70916641878,-288.70916641878,-246.455148586397,-288.70916641878,-246.455148586397,134.94,-288.70916641878,0
-442.068110541841,-884.136221083683,14.95,22.8833333333333,-1267.73440967684,-433.068110541841,-1104.54601046347,-756.896906622789,23.95,29.9,23.95,23.95,-369.448453311394,-2259.79669845818,15.0316666666667,68.65,23.95,-406.689705774243,-433.068110541841,-9355.6561662583,-9521.37075971592,-433.068110541841,-347.649103840683,38.75,-374.226246650332,0
-40.0644956709957,-120.193487012987,324.91,575.18125,1681.65403463203,35.0055043290043,1460.86668449593,-234.870963122091,399.98,974.73,554.38,399.98,-3.220321040697,2400.16784680813,580.223846153846,4601.45,399.98,186.606462957085,35.0055043290043,1244.9592486256,1053.24507638574,-180.184495670996,1987.60154668861,2381,59.2837737440761,0
1430.48188945816,1430.48188945816,1887.5,1887.5,1430.48188945816,1430.48188945816,1484.2996789593,1484.2996789593,1887.5,1887.5,1887.5,1887.5,1484.2996789593,1484.2996789593,1887.5,1887.5,1887.5,1430.48188945816,1430.48188945816,1430.48188945816,1484.2996789593,1430.48188945816,1484.2996789593,1887.5,1430.48188945816,0
-76.0810221862019,-76.0810221862019,310,310,-76.0810221862019,-76.0810221862019,-83.3984533113945,-83.3984533113945,310,310,310,310,-83.3984533113945,-83.3984533113945,310,310,310,-76.0810221862019,-76.0810221862019,-552.984577807572,-506.63666099276,-76.0810221862019,-83.3984533113945,310,-184.328192602524,0
265.76083358122,265.76083358122,689.41,689.41,265.76083358122,265.76083358122,308.014851413603,308.014851413603,689.41,689.41,689.41,689.41,308.014851413603,-630.00512260148,241.3775,689.41,689.41,-174.71081615252,265.76083358122,34.8340511257669,111.197320246443,265.76083358122,308.014851413603,689.41,5.80567518762781,0
-362.033940146367,-362.033940146367,14.7,14.7,-362.033940146367,-362.033940146367,-371.699103840683,-371.699103840683,14.7,14.7,14.7,14.7,-371.699103840683,-371.699103840683,14.7,14.7,14.7,-362.033940146367,-362.033940146367,-362.033940146367,-371.699103840683,-362.033940146367,-371.699103840683,14.7,-362.033940146367,0
